,Position,Appearances,Goals,Assists,Big chances missed,Red cards,PFA_Team,Big chances created,Interceptions,Clearances,Saves,Penalties saved,High Claims
4452,0,4,0.0,0.0,0.0,0,0,0.0,1.0,11.0,0.0,0.0,0.0
4453,0,20,0.0,1.0,0.0,0,0,0.0,12.0,27.0,0.0,0.0,0.0
4454,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4455,0,1,0.0,0.0,0.0,0,0,0.0,0.0,3.0,0.0,0.0,0.0
4456,0,7,0.0,0.0,0.0,0,0,0.0,6.0,23.0,0.0,0.0,0.0
4457,0,27,0.0,3.0,0.0,0,0,0.0,32.0,41.0,0.0,0.0,0.0
4458,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4459,0,9,0.0,0.0,0.0,0,0,0.0,6.0,26.0,0.0,0.0,0.0
4460,0,15,0.0,1.0,0.0,0,0,0.0,15.0,19.0,0.0,0.0,0.0
4461,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4462,0,38,1.0,7.0,0.0,0,0,0.0,21.0,68.0,0.0,0.0,0.0
4463,0,28,0.0,0.0,0.0,1,0,0.0,37.0,54.0,0.0,0.0,0.0
4464,0,12,0.0,0.0,0.0,0,0,0.0,21.0,35.0,0.0,0.0,0.0
4465,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4466,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4467,0,32,1.0,0.0,0.0,0,1,0.0,35.0,90.0,0.0,0.0,0.0
4468,0,2,0.0,0.0,0.0,0,0,0.0,2.0,4.0,0.0,0.0,0.0
4469,0,19,1.0,0.0,0.0,0,0,0.0,18.0,51.0,0.0,0.0,0.0
4470,0,4,0.0,0.0,0.0,0,0,0.0,3.0,11.0,0.0,0.0,0.0
4471,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4472,0,12,0.0,0.0,0.0,0,0,0.0,17.0,29.0,0.0,0.0,0.0
4473,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4474,0,18,1.0,0.0,0.0,1,0,0.0,27.0,51.0,0.0,0.0,0.0
4475,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4476,0,32,1.0,5.0,0.0,0,1,0.0,20.0,39.0,0.0,0.0,0.0
4477,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4478,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4479,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4480,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4481,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4482,0,23,1.0,0.0,0.0,0,0,0.0,28.0,80.0,0.0,0.0,0.0
4483,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4484,0,22,4.0,0.0,0.0,1,1,0.0,18.0,54.0,0.0,0.0,0.0
4485,0,27,1.0,0.0,0.0,0,0,0.0,47.0,84.0,0.0,0.0,0.0
4486,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4487,0,6,0.0,0.0,0.0,0,0,0.0,3.0,13.0,0.0,0.0,0.0
4488,0,38,0.0,2.0,0.0,0,0,0.0,55.0,87.0,0.0,0.0,0.0
4489,0,36,1.0,0.0,0.0,0,0,0.0,44.0,159.0,0.0,0.0,0.0
4490,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4491,0,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4492,0,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4493,0,22,0.0,1.0,0.0,0,0,0.0,27.0,44.0,0.0,0.0,0.0
4494,0,23,2.0,0.0,0.0,1,0,0.0,33.0,82.0,0.0,0.0,0.0
4495,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4496,0,27,1.0,3.0,0.0,0,0,0.0,16.0,56.0,0.0,0.0,0.0
4497,0,8,0.0,0.0,0.0,0,0,0.0,4.0,43.0,0.0,0.0,0.0
4498,0,1,0.0,0.0,0.0,0,0,0.0,2.0,8.0,0.0,0.0,0.0
4499,0,2,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4500,0,9,0.0,0.0,0.0,0,0,0.0,3.0,15.0,0.0,0.0,0.0
4501,0,3,0.0,0.0,0.0,0,0,0.0,2.0,5.0,0.0,0.0,0.0
4502,0,22,0.0,1.0,0.0,0,0,0.0,30.0,32.0,0.0,0.0,0.0
4503,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4504,0,5,1.0,0.0,0.0,0,0,0.0,5.0,8.0,0.0,0.0,0.0
4505,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4506,0,28,1.0,1.0,0.0,0,0,0.0,33.0,60.0,0.0,0.0,0.0
4507,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4508,0,30,3.0,0.0,0.0,1,0,0.0,42.0,119.0,0.0,0.0,0.0
4509,0,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
